show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,platform
s583,movie,on ice,Ben Sharpsteen,"Pinto Colvig, Walt Disney, Marcellite Garner",United States,2020-04-03,1935,TV-G,9 min,"Animation, Comedy, Family",Mickey and friends enjoy skating on a frozen river. See details for advisory.,2020.0,4.0,Disney
s662,movie,drain the sunken pirate city,Sophie Harris,Russell Boulter,United Kingdom,2020-01-01,2017,TV-14,48 min,"Documentary, Historical",Hidden beneath Jamaica’s Kingston Harbour lie the ruins of the biggest pirate city of all time.,2020.0,1.0,Disney
s808,movie,"davy crockett, king of the wild frontier",Norman Foster,"Fess Parker, Buddy Ebsen, Basil Ruysdael, Hans Conried, Pat Hogan, Ken Tobey",United States,2019-11-12,1955,PG,93 min,"Action-Adventure, Family, Historical","Share Davy Crockett's legend, from the frontier to Congress to the Alamo. See details for advisory.",2019.0,11.0,Disney
s901,movie,freaky friday,Mark Waters,"Jamie Curtis, Lindsay Lohan, Harold Gould, Chad Murray, Stephen Tobolowsky, Christina Vidal",United States,2019-11-12,2003,PG,98 min,"Comedy, Family, Fantasy",A mother and daughter see things a bit differently when they switch bodies.,2019.0,11.0,Disney
s1053,movie,marvel studios' thor: the dark world,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Rene Russo, Stellan Skarsgård",United States,2019-11-12,2013,PG-13,114 min,"Action-Adventure, Fantasy, Science Fiction",Thor must set out on his most dangerous and personal journey yet.,2019.0,11.0,Disney
s1213,movie,star wars: attack of the clones (episode ii),George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Frank Oz, Ian McDiarmid, Pernilla August",United States,2019-11-12,2002,PG,143 min,"Action-Adventure, Science Fiction",Young Anakin and Padmé fall in love as galactic war looms.,2019.0,11.0,Disney
s1304,movie,the lost tomb of alexander the great,Duncan Singh,Matt McFetridge,United Kingdom,2019-11-12,2019,TV-PG,44 min,"Documentary, Historical",An archaeologist on the hunt for Alexander the Great’s lost tomb makes an extraordinary discovery.,2019.0,11.0,Disney
s921,movie,gotta kick it up,Ramon Menendez,"Camille Guaty, America Ferrera, Jhoanna Flores, Suilma Rodriguez, Sabrina Wiener, Miguel Sandoval",United States,2019-11-12,2002,TV-G,85 min,"Coming of Age, Dance, Drama",A new coach and her middle school dance team surprise all their doubters.,2019.0,11.0,Disney
s1129,movie,piglet's big movie,Francis Glebas,"John Fiedler, Jim Cummings, Andre Stojka, Kath Soucie, Nikita Hopkins, Peter Cullen",United States,2019-11-12,2003,G,78 min,"Action-Adventure, Animation, Kids","When Piglet disappears, his friends band together to find him.",2019.0,11.0,Disney
s1266,movie,the cheetah girls: one world,Paul Hoen,"Adrienne Bailon, Sabrina Bryan, Kiely Williams, Roshan Seth, Michael Steger, Kunal Sharma",United States,2019-11-12,2008,TV-G,85 min,"Comedy, Coming of Age, Music",The Cheetah Girls are off to India to land a spot in a Bollywood musical.,2019.0,11.0,Disney
s1276,movie,the fox and the hound,"Art Stevens, Ted Berman, Richard Rich","Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson, Sandy Duncan, Jeanette Nolan",United States,2019-11-12,1981,G,85 min,"Action-Adventure, Animation, Buddy",A little fox and a hound pup become unlikely friends.,2019.0,11.0,Disney
s361,movie,planes: fire & rescue,Bobs Gannaway,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook",United States,2020-11-20,2014,PG,85 min,"Action-Adventure, Animation, Comedy",Air racer Dusty teams up with a dynamic crew of flying firefighters.,2020.0,11.0,Disney
s374,movie,mr. magoo,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",United States,2020-11-06,1997,PG,88 min,"Action-Adventure, Comedy, Crime",Clueless Mr. Magoo sets out to get back a stolen precious gem.,2020.0,11.0,Disney
s1180,movie,saving mr. banks,John Hancock,"Emma Thompson, Tom Hanks, Colin Farrell, Paul Giamatti, Jason Schwartzman, Bradley Whitford","United States, United Kingdom, Australia",2019-11-12,2013,PG-13,129 min,"Biographical, Drama, Historical","""Discover the untold story behind Walt Disney's 20-year effort to bring """"Mary Poppins"""" to life.""",2019.0,11.0,Disney
s1231,movie,tangled,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor",United States,2019-11-12,2010,PG,101 min,"Action-Adventure, Animation, Family","Rapunzel and Flynn set off on a hilarious, hair-raising escapade.",2019.0,11.0,Disney
s1354,movie,the ultimate christmas present,Greg Beeman,"Hallee Hirsh, Spencer Breslin, Hallie Todd, Brenda Song, John Salley, Susan Ruttan","Canada, United States",2019-11-12,2000,TV-G,81 min,"Comedy, Coming of Age, Fantasy",Allie and Sam lose control of Santa's weather machine.,2019.0,11.0,Disney
s47,movie,santa buddies: the legend of santa paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada",2021-11-05,2009,G,93 min,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",2021.0,11.0,Disney
s1019,movie,life-size 2,Steven Tsuchida,"Tyra Banks, Francia Raisa, Gavin Stenhouse, Hank Chen, Alison Fernandez, Shanica Knowles",United States,2019-11-12,2018,TV-14,82 min,"Comedy, Coming of Age, Fantasy",Eve magically awakes to help get Grace back on track.,2019.0,11.0,Disney
s1391,movie,tru confessions,Paul Hoen,"Shia LaBeouf, Clara Bryant, William McGuire, Nicole Dicker, Kevin Duhaney, Yani Gellman","United States, Canada",2019-11-12,2002,TV-G,83 min,"Coming of Age, Drama",A chance to star in a TV show reveals the value of family for Trudy Walker.,2019.0,11.0,Disney
s1401,movie,waking sleeping beauty,Don Hahn,"Don Hahn, Ron Clements, Roy Disney, Glen Keane, Jeffrey Katzenberg, Roger Allers",United States,2019-11-12,2010,PG,87 min,Documentary,A revealing look at the events that ushered in the second chapter of Disney's animation legacy.,2019.0,11.0,Disney
s1447,movie,night at the museum: battle of the smithsonian,Shawn Levy,"Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat","United States, Canada",2021-04-02,2009,PG,106 min,"Action-Adventure, Comedy, Family",Larry Daley returns to rescue some old friends while the Smithsonian Institution comes alive.,2021.0,4.0,Disney
s21,movie,feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,2021-11-12,2014,G,8 min,"Animation, Comedy, Drama",One man's love life seen through the eyes of his dog.,2021.0,11.0,Disney
s1112,movie,one magic christmas,Phillip Borsos,"Mary Steenburgen, Gary Basaraba, Elizabeth Harnois, Arthur Hill, Wayne Robson, Jan Rubes","Canada, United States",2019-11-12,1985,G,89 min,"Drama, Fantasy",A young mother rediscovers the joy of Christmas thanks to the unshakable faith of her daughter.,2019.0,11.0,Disney
